State,County,Poor mental health days,Mental health providers
NC,Wayne County,3.5,131.0
NC,Wayne County,3.5,189.0
NC,Wilkes County,4.4,100.0
NC,Wilkes County,4.4,155.0
NC,Wilson County,3.1,74.0
NC,Wilson County,3.1,119.0
NC,Yadkin County,4.6,39.0
NC,Yadkin County,4.6,60.0
NC,Yancey County,4.1,67.0
NC,Yancey County,4.1,165.0
